Ensembl	C1	C2	C3	C4	C5	C11	Ds1	Ds3	Ds4	Ds5	Ds8	Ds9
ENSG00000185615	1.078277495	1.534034444	5.190864049	5.460529797	2.508296971	3.206651663	8.277389348	9.066154989	6.943521985	8.023689429	4.425197539	13.65863998
ENSG00000103126	6.884387081	9.166791192	19.03316818	19.05313892	11.90300926	17.59325101	25.36966086	21.54485146	22.41176403	27.58143241	14.40130076	22.41623856
ENSG00000086504	14.2664407	15.97640751	31.4232663	29.94484082	11.99422006	18.76324554	25.58465799	13.14083139	14.47139978	16.29811915	14.94474607	24.46503456
ENSG00000129925	1.24416634	1.683696341	6.921152066	6.077041226	1.687399781	5.589973845	10.92902057	7.741885159	7.184139084	7.70130905	4.774555239	12.73467316
ENSG00000103202	5.432859684	5.125919972	15.10912214	14.29719361	4.104485953	14.86326379	18.45391998	17.82670925	16.29321496	14.2921968	7.142424098	24.82658679
ENSG00000242612	0.746499804	0.823140434	2.719024026	1.90824966	1.003318789	1.776658354	3.081625472	2.0373382	1.168711621	1.504441768	1.475065846	1.928278586
ENSG00000090565	46.73918217	44.26250604	58.95338456	62.15022355	53.35831739	86.31959611	80.22976083	78.5393876	72.87260697	77.04891054	73.98619745	85.76822461
ENSG00000103326	1.575944031	2.170097507	11.18507611	8.04400626	1.504978183	7.669964112	17.05643866	12.07122883	12.13397654	12.71611494	4.774555239	22.21537621
ENSG00000007541	0.870916438	1.421788022	8.311562079	4.374295375	1.185740386	4.549978711	8.886547872	8.200286254	6.393540046	9.92215166	2.523138948	15.02450398
ENSG00000197562	5.391387473	6.51029252	25.64534024	24.33752259	5.381437138	21.49323277	30.02793192	17.47017506	16.15571947	19.80848328	9.587928001	27.6788322
ENSG00000130731	3.815443442	6.061306829	20.11459819	15.85315102	2.873140167	9.056624291	10.64235773	12.42776302	12.23709815	12.42955461	5.356818073	19.80502798
ENSG00000172366	0.912388649	0.748309485	7.291928069	5.284383675	2.234664574	3.119985402	5.446593857	5.60268005	4.365481644	6.769987956	1.669153458	8.637081167
ENSG00000161996	0.705027593	0.710894011	3.553270034	2.81833796	0.501659394	2.556654704	3.332455452	4.27841022	3.093648409	4.835705683	1.746788502	9.279840695
ENSG00000140983	5.349915262	7.071524633	19.34214818	18.08433524	5.335831739	16.03325831	20.46055982	19.3547129	16.49945818	19.02044235	11.60643916	26.11210585
ENSG00000103269	0.414722113	0.299323794	4.325720041	2.260541905	0.319237796	1.299993917	2.149971259	2.34293893	2.096806144	3.116343662	1.397430802	6.548112698
ENSG00000103266	20.77757788	29.89496393	57.06860654	63.47131947	18.88063538	42.59646736	53.35512009	41.40889891	36.95191156	40.11844714	32.60671871	50.73783029
ENSG00000161999	5.59874853	5.425243766	14.39846814	11.09720572	4.697356146	11.4832796	11.53817909	12.12216229	7.699747152	11.53405355	7.18124162	15.50657363
ENSG00000127580	2.446860469	3.142899837	5.159966049	5.2256683	2.189059175	4.46331245	8.850715018	8.302153164	7.699747152	8.740090271	5.628540729	10.28415246
ENSG00000127585	115.0439142	112.2090073	268.4418266	217.2468844	102.748965	265.2420923	324.5381616	200.2194116	193.8686336	206.1443422	150.6896215	390.4764137
ENSG00000103260	2.363916046	3.142899837	22.86452022	15.03113579	3.009956366	11.0499483	18.77641566	17.97950961	9.659057811	17.58764067	4.580467628	28.96435126
ENSG00000103254	0.082944423	0.336739268	6.426784061	3.963287756	0.228026997	2.25332279	3.798282558	2.190138565	1.13433775	2.793963283	0.776350445	5.021558818
ENSG00000162004	0.290305479	1.272126125	3.275188031	2.847695647	0.91210799	1.169994526	1.397481319	4.17654331	1.340580977	3.187983746	0.50462779	4.579661642
ENSG00000103253	0.497666536	1.197295176	6.457682061	4.755945307	0.501659394	3.119985402	6.449913778	6.977883334	2.612414212	4.298405051	1.70797098	6.789147522
ENSG00000103245	3.11041585	4.302779539	13.53332413	12.41830164	3.739642757	8.319961071	16.37561443	12.32589611	9.590310069	13.00267528	6.366073652	17.27416233
ENSG00000007376	0.746499804	1.49661897	6.148702058	5.372456736	1.368161984	4.376646188	5.984086672	5.653613505	2.337423243	3.976024672	2.717226559	8.637081167
ENSG00000127586	1.161221917	1.085048753	3.367882032	2.81833796	1.322556585	2.339989051	4.335775373	4.68587786	3.196770023	5.158086061	2.406686381	4.177936936
ENSG00000103227	1.741832876	2.656498672	11.33956611	6.869698777	1.869821379	6.846634631	10.53485917	10.69602555	9.487188455	15.54589827	6.521343741	13.13639787
ENSG00000005513	9.372719761	10.43891732	37.97364236	26.39256069	13.54480365	34.23317316	60.70085522	47.11344587	32.68955152	45.16907308	20.72855689	58.25008229
ENSG00000196557	6.84291487	12.79609219	35.47090434	15.70636259	7.524890914	24.17988686	40.20446255	21.85045219	17.94316077	21.13382484	16.14808926	57.36628793
ENSG00000103275	44.74851603	42.50397875	40.72356439	40.8952581	35.0249468	45.6297865	45.25689501	41.05236473	37.53626737	37.18120369	43.47562494	54.19266276
ENSG00000007516	18.53807847	22.33703813	106.690795	64.5281962	10.12439868	47.79644303	110.6160213	92.13862009	70.8101747	91.66348772	60.40006465	172.7817958
ENSG00000007520	15.05441271	13.80631	22.83362222	21.8127615	19.79274337	21.79656468	21.35638118	15.63657068	19.28374175	16.58467949	19.175856	20.52813245
ENSG00000090581	19.32605048	25.36769154	48.32447246	43.36130382	19.70153257	41.85980414	43.10692375	44.05743857	33.17078572	46.31531443	30.82111268	53.188351
ENSG00000059145	8.916525436	9.24162214	16.22145015	14.03297442	10.58045268	17.02992032	25.11883088	22.66538747	19.24936788	22.17260606	17.46788502	23.42055033
ENSG00000174109	3.027471427	3.554470054	5.623436053	5.108237552	4.058880554	3.813315491	4.873268188	3.0560073	3.334265508	3.008883536	3.687664616	3.816384701
ENSG00000197599	0.248833268	0.224492846	1.174124011	0.880730612	0.045605399	1.083328264	2.938294054	1.93547129	3.024900667	2.793963283	0.85398549	3.73603976
ENSG00000103249	6.386720545	9.091960243	21.3196202	17.67332762	5.016593943	14.1699337	28.88128058	25.92512859	18.32127336	30.44703578	12.7321473	37.03901784
ENSG00000100726	0.373249902	1.197295176	6.488580062	3.904572382	1.231345786	3.943314883	5.195763877	6.876016424	3.95299519	6.519247661	2.756044081	9.842255283
ENSG00000187535	11.57074696	12.57159935	19.71292419	21.69533075	10.80847968	23.18322486	29.63377052	32.69927811	34.47699283	30.59031595	24.99848434	33.22263314
ENSG00000007545	7.133220349	7.071524633	9.392992089	9.805467485	6.521572125	10.44328447	10.71402344	11.86749501	11.51524686	13.11013541	12.07224943	12.29277599
ENSG00000206053	7.79677573	11.44913512	10.1036461	7.33942177	10.21560948	11.0499483	12.43400045	14.41416776	16.05259786	13.89817633	12.65451226	15.70743598
ENSG00000138834	103.9708338	128.596985	230.2210002	188.6231395	95.26967951	217.0989842	276.1638083	231.9509541	225.6644645	219.0037374	191.0598446	386.9814087
ENSG00000103024	0.539138747	0.52381664	3.862250037	3.199987892	0.684080992	0.996662003	2.687464074	2.903206935	1.753067432	3.044703578	0.931620534	3.495004937
ENSG00000074071	13.43699647	18.70773713	24.22403223	37.13747416	24.26207252	30.41985767	26.65964362	25.77232823	28.22094827	28.22619317	26.70645532	25.14796656
ENSG00000197774	3.068943639	3.629301002	16.12875615	9.65867905	4.058880554	10.05328629	16.23228301	20.72991618	6.565409402	17.48018054	4.774555239	23.25986044
ENSG00000162032	2.363916046	2.544252249	8.713236083	7.897217825	3.557221159	5.373308192	9.316542124	10.186691	10.38090911	9.384851028	7.569416843	10.56535975
ENSG00000095906	0.705027593	2.057851084	7.909888075	7.721071702	0.957713389	5.329975061	11.2156834	7.130683699	6.874774243	9.563951239	2.794861603	10.60553222
ENSG00000063854	21.6070221	39.02433964	51.44517049	55.51538627	24.71812652	47.05977981	51.02598455	37.18142215	32.13956959	33.59919948	32.49026614	44.10937266
ENSG00000180185	25.09068786	22.18737623	16.19055215	22.63477674	23.89722933	18.93657806	14.01064604	11.96936192	15.57136366	13.28923562	23.36814841	16.99295504
ENSG00000198736	0.953860861	1.75852729	3.769556036	1.966965034	0.820897191	1.689992093	4.909101042	2.393872385	2.474918727	3.438724041	1.940876114	5.463455994
ENSG00000140990	32.84599137	40.89511336	52.7119885	55.98510926	39.58548675	48.27310746	44.82690076	37.28328906	34.30512347	38.9722058	38.11880687	44.71195971
ENSG00000140988	31.02121408	46.65709639	103.261117	85.63637322	48.34172345	66.86302048	105.4202574	81.34072763	88.47834451	82.8875774	63.00083864	125.2577631
ENSG00000183751	2.778638159	2.955822466	13.28614013	9.100882995	3.739642757	11.56994586	15.22896309	11.46002737	9.727805554	10.10125187	5.861445863	19.68451057
ENSG00000127554	3.027471427	4.602103333	11.30866811	9.746752111	5.472647937	7.886629765	11.25151626	8.556820439	10.27778749	9.993791744	8.38458481	12.05174116
ENSG00000127561	12.19283013	13.58181715	35.90347634	23.19257279	5.974307332	14.603265	32.93039312	17.26644124	17.87441303	16.72795966	13.23677509	25.18813903
ENSG00000167962	2.861582582	2.619083198	7.755398074	5.842179729	2.964350966	6.976634023	9.674870667	9.728289904	7.94036425	9.492311155	5.744993296	12.49363834
ENSG00000065054	3.317776906	4.003455745	13.62601813	15.32471266	3.694037358	9.74995438	23.14802389	17.01177397	17.46192658	20.56070416	11.06299385	30.77211244
ENSG00000065057	1.451527397	2.357174878	6.426784061	5.196310613	2.371480773	3.553316707	5.088265314	5.29707932	3.987369061	5.623746609	3.41594196	5.061731288
ENSG00000103197	30.27471427	30.56844246	53.66982651	47.20716083	21.98180255	54.03641383	63.78248069	74.82124539	63.86665272	73.93256688	42.73809202	88.41960766
ENSG00000008710	14.88852387	17.51044195	104.311649	77.50429389	22.80269974	86.49292863	164.2219714	132.426983	106.490253	129.310352	68.16356911	236.575679
ENSG00000167964	2.571277103	4.864011653	10.0109521	10.04032898	2.59950777	7.019967154	12.25483618	5.50081314	5.809184235	5.516286482	5.318000551	18.23830163
ENSG00000131653	7.423525828	9.540945934	22.43194821	13.71003987	6.567177525	14.94993005	25.29799515	18.13230998	16.39633657	17.80256092	9.976103223	29.76780067
ENSG00000167971	29.6526311	34.19774347	81.16904677	58.45115498	21.98180255	63.78636821	97.71619374	72.63110682	47.50469002	67.37749918	42.50518689	112.8042973
ENSG00000167965	5.557276318	8.306235284	18.66239218	15.26599728	3.557221159	17.59325101	21.92970685	18.8963118	13.81829623	14.97277759	11.21826394	27.47796985
ENSG00000182685	0.456194325	0.448985691	2.07016602	0.851372925	0.775291791	2.079990268	3.045792617	3.310674575	2.81865744	3.152163704	1.280978235	2.771900467
ENSG00000184207	7.423525828	9.166791192	17.55006417	14.59077048	7.752917911	13.30327109	16.44728013	14.8216354	10.44965685	12.07135419	9.549110478	16.75192022
ENSG00000167967	3.068943639	6.884447262	17.42647217	22.63477674	4.150091353	14.94993005	20.06639842	16.65523978	12.82145396	17.26526029	9.160935256	22.0948588
ENSG00000167969	0.705027593	1.945604661	5.561640053	4.403653062	2.59950777	2.079990268	7.059072301	4.99147859	3.815499705	5.337186272	3.532394527	5.543800935
ENSG00000205937	64.82106631	66.30022037	70.04576667	71.39789498	60.74639211	83.15627758	92.34126559	79.76179052	83.28788995	79.69959366	84.46692846	96.17289448
ENSG00000167972	55.6142354	70.11659875	132.2743393	90.24553009	44.46526449	136.6293607	172.3918621	119.3880185	115.3243379	125.907448	103.2934268	187.2037127
ENSG00000162063	4.437526612	5.01367355	6.364988061	7.310064083	4.241302151	4.766644364	6.593245195	7.130683699	7.562251667	7.880409261	8.151679677	7.873804226
ENSG00000162065	39.68890624	35.95627076	43.84426242	40.4548928	30.19077445	47.7531099	55.64842276	42.37663456	38.84247447	38.54236529	33.30543411	51.58145218
ENSG00000162066	1.451527397	2.506836775	10.0418501	7.486210206	0.775291791	5.589973845	8.922380726	9.524556084	6.737278758	10.24453204	4.153474883	10.88673952
ENSG00000140992	56.52662404	64.91584783	71.68336068	67.99240328	45.01252929	83.06961132	77.86479244	65.65322349	81.43170091	64.26115552	61.13759758	100.6722112
ENSG00000167977	7.050275926	6.547707994	10.9069941	7.632998641	7.84412871	8.059962288	9.674870667	7.741885159	8.730963288	9.313210944	7.724686932	10.32432493
ENSG00000167978	385.1938988	320.8376917	375.2253156	319.9400738	288.2261247	539.8441407	561.6083258	687.4488421	570.5375144	636.7012482	500.7072198	603.6717148
ENSG00000103363	18.74543952	28.54800685	50.20925048	49.70256423	15.68825742	31.28652028	39.70280259	31.93527628	27.87720955	25.64715014	22.24244026	37.68177737
ENSG00000162076	3.234832484	3.479639105	9.949156095	7.750429389	3.46601036	9.403289336	11.46651338	8.404020074	6.22167069	7.52220884	3.920569749	11.24829175
ENSG00000059122	4.022804499	9.129375717	28.17897627	17.46782381	5.883096533	23.87655495	34.68620298	29.18486971	29.42403376	27.58143241	15.72109652	42.26143901
ENSG00000127564	0.953860861	0.374154743	2.193758021	1.761461225	0.501659394	1.169994526	1.970806988	2.64853966	1.203085492	2.077562441	1.591518413	2.330003291
ENSG00000162073	7.506470251	6.323215148	26.10881025	20.25680409	15.09538723	25.91321209	35.43869292	32.90301193	30.97085796	37.89760453	24.29976894	40.37333289
ENSG00000103145	4.893720937	5.911644932	21.87578421	15.11920885	3.192377963	9.619954988	20.28139555	10.08482409	10.96526492	11.46241347	7.18124162	18.11778421
ENSG00000131652	0.705027593	0.673478537	2.255554021	1.291738232	0.319237796	1.343327048	1.755809862	1.73173747	1.753067432	2.113382484	0.85398549	2.088968468
ENSG00000122386	1.202694129	1.346957073	5.159966049	5.020164491	1.413767384	2.946652879	6.270749506	5.755480415	3.196770023	3.76110442	2.988949215	5.583973405
ENSG00000085644	2.944527005	4.153117642	8.002582076	6.223829661	2.64511317	8.493293593	11.17985055	9.015221534	9.34969297	10.31617212	10.51954854	17.27416233
ENSG00000010539	11.28044148	10.40150184	8.620542082	10.30454817	11.49256067	8.883291769	5.589925274	7.640018249	6.015427462	8.56099006	8.112862154	6.949837404
ENSG00000006194	22.93413287	28.24868306	37.60286636	39.13379688	29.05063947	34.92650325	28.30795491	33.31047957	28.42719149	33.24099906	31.24810543	30.00883549
ENSG00000140993	41.30632249	33.18752566	18.16802417	23.89715728	42.27620532	21.27656711	22.50303251	25.77232823	29.18341666	23.13974719	26.59000276	17.67588704
ENSG00000162086	40.31098941	40.82028241	32.72098231	33.61455171	44.64768609	44.0697938	28.55878489	38.96409307	35.98944316	43.12733068	40.44785821	31.97728655
ENSG00000285329	1.327110763	0.673478537	0.926940009	1.115592109	0.820897191	1.603325831	1.254149901	1.22240292	1.99368453	1.182061389	2.56195647	1.767588704
ENSG00000140987	13.56141311	15.1158516	13.10075212	14.23847823	15.27780883	15.03659631	12.93566041	14.77070195	12.89020171	15.68917844	13.46968023	10.76622211
ENSG00000103343	14.55674618	12.19744461	11.09238211	11.47885565	12.22224706	10.57328386	9.029879289	12.12216229	11.5839946	10.71019259	12.57687722	11.36880916
ENSG00000167981	15.51060704	13.28249336	11.95752611	14.15040517	18.33337059	12.08994343	12.14733762	10.69602555	15.02138172	10.8892928	14.01312554	9.60122046
ENSG00000122390	15.84238473	15.26551349	14.33667214	11.86050558	10.94529587	21.62323216	20.38889411	19.76218054	19.38686336	18.69806197	17.23497989	28.00021197
ENSG00000103351	43.96054401	38.68760038	32.81367631	34.67142844	40.95364873	37.2664923	23.57801814	30.91660718	28.22094827	32.52459822	36.99309872	22.73761833
ENSG00000188827	19.90666144	17.7349348	23.63697022	20.78524245	15.59704662	30.59319019	30.49375903	35.34781777	24.54294405	35.82004209	25.42547709	34.26711737
ENSG00000213918	21.64849431	15.56483729	19.99100619	16.93938545	31.10288244	23.61655617	27.12547072	35.14408395	33.7895154	32.20221784	27.0169955	31.29435455
ENSG00000126602	47.5686264	58.48038625	60.71457058	60.00711239	50.39396642	69.02967701	54.71676855	60.35614417	59.56991881	58.24338844	66.18387547	62.46819169
ENSG00000005339	126.3658279	102.480984	110.367657	91.3611222	107.4007158	149.8459655	173.3951821	178.7254936	190.1218817	180.389732	150.8837091	179.9324956
ENSG00000162104	32.68010253	34.75897558	45.45095843	47.88238763	40.13275154	56.93973358	54.57343713	62.54628274	64.65725175	65.04919644	38.66225218	69.94027121
ENSG00000090447	2.778638159	2.806160569	3.862250037	4.550441498	3.46601036	4.159980536	6.62907805	6.774149514	7.252886826	8.202789639	6.560161264	8.677253637
ENSG00000126603	0.248833268	0.561232114	2.502738024	1.40916898	0.319237796	1.819991484	3.511619724	2.44480584	1.890562917	1.217881431	1.242160713	4.218109407
ENSG00000262246	0.787972015	0.374154743	2.379146023	1.086234422	0.410448595	2.079990268	3.905781121	2.64853966	1.203085492	1.611901894	2.484321425	5.22242117
ENSG00000168140	0.082944423	0.336739268	1.853880018	2.377972654	0.319237796	1.083328264	5.589925274	3.46347494	1.959310659	3.976024672	0.815167968	5.423283523
ENSG00000103423	24.80038238	31.91539954	37.91184636	37.07875878	26.1774993	36.22649716	40.81362107	34.27821521	35.74882606	30.8052362	30.47175498	37.60143243
ENSG00000153406	9.455664184	12.42193745	16.31414416	22.19441143	10.17000408	17.54991788	22.68219679	19.76218054	17.63379593	17.1936202	18.8264983	21.8136515
ENSG00000103415	48.6883761	68.17099409	87.31774883	85.78316165	49.57306923	69.59300771	78.68894809	55.31373213	55.75441911	58.95978929	58.38155349	61.46387993
ENSG00000089486	14.84705166	25.18061417	61.73420459	43.00901157	9.759555488	38.60981935	61.16668233	36.72302105	41.86737514	33.24099906	26.16301001	77.25166085
ENSG00000205832	0.663555381	0.860555908	1.266818012	0.939445987	1.276951185	2.339989051	1.182484193	2.0373382	1.065590008	1.898462231	0.50462779	1.647071292
ENSG00000153443	4.147221133	3.367392683	8.713236083	6.605479593	2.006637577	6.066638281	13.83148177	6.570415694	8.730963288	6.590887745	6.094350996	18.72037127
ENSG00000102858	37.78118452	34.49706726	58.36632256	32.35217116	23.30435913	69.89633962	86.35717892	79.35432288	60.77300431	85.07259997	60.94350996	113.5274018
ENSG00000168101	1.036805283	1.870773713	8.064378077	6.63483728	0.775291791	4.203313666	6.234916652	3.718142215	4.124864546	4.62078543	0.815167968	5.583973405
ENSG00000168096	6.386720545	4.826596178	11.0305861	9.570605988	5.427042538	10.96328204	13.61648464	14.10856703	12.95894945	14.82949743	8.539854899	16.47071292
ENSG00000103199	3.773971231	3.629301002	7.848092075	7.750429389	3.739642757	7.973296026	11.35901482	10.28855791	8.662215546	11.82061389	5.47327064	13.85950234
ENSG00000067836	3.234832484	4.639518807	20.45447619	15.11920885	4.241302151	14.55993187	21.64304401	15.68750414	13.68080074	14.75785734	8.695124989	35.15091172
ENSG00000140632	147.97285	138.9610714	129.4626212	116.1683678	131.4803667	129.8693923	116.5642751	102.1725107	113.3306534	107.8899668	125.4970495	119.272065
ENSG00000118900	41.67957239	39.9597265	39.73482838	39.10443919	42.00257292	48.57643938	44.3252408	48.94705025	52.04204102	48.85853742	54.42216622	48.48817194
