Ensembl	C13	C14	C17	C19	C20	C21	C22	C23	Ds11	Ds12	Ds13	Ds15	Ds16	Ds17	Ds18	Ds19
ENSG00000147133	119.1677039	158.634217	84.1411626	85.2517229	92.37391089	73.05837917	75.88918486	84.46375188	173.730453	86.72125002	95.54601201	108.4850305	90.81798597	112.5552369	169.2698238	96.18970107
ENSG00000147162	392.3679662	398.0051695	324.3798245	378.3796773	336.2144771	328.6519638	305.0648101	304.7851546	145.6412703	297.4258343	315.5369917	292.5249974	362.3349329	243.0390538	223.0209228	328.6638319
ENSG00000147174	7.701627922	10.48339938	4.006722028	8.354289104	5.03505594	4.58790168	5.572193432	6.290774824	19.5824993	4.848339927	4.733983108	7.651639893	8.324982047	16.56937357	6.805396663	11.63311845
ENSG00000204131	34.72650195	35.16306875	33.81014753	30.34758807	24.84329799	29.23600795	36.47486251	31.74244177	32.2568866	38.93918294	37.59339527	33.53100833	42.45380455	37.15164231	18.33996728	52.36785683
ENSG00000242732	25.36464286	21.76761399	29.41921928	29.87291255	25.92223855	30.5649174	24.87038628	31.62701471	57.77693671	29.63890824	34.4683476	31.60808312	28.50675671	28.99640375	34.7767304	37.42174672
ENSG00000102309	18.72371818	25.55328599	12.3220424	12.37320848	13.58358498	12.46643629	14.95290439	12.40840906	5.366632461	11.92264724	11.63384084	7.411274242	14.30743668	3.042033429	5.99797672	10.8801658
ENSG00000198034	295.8439708	302.2713488	226.050475	187.7816346	186.2694046	176.9031607	220.1527616	190.0217992	109.8446899	232.049477	255.727911	140.3334793	264.4893647	92.68493342	167.4242925	166.5154786
ENSG00000147099	53.31186753	100.6115135	33.06917839	39.01832752	46.89241658	32.84304789	35.91253106	43.66028582	32.99908045	36.98764989	41.70855706	57.16696402	36.14699997	42.26484743	54.50084616	39.64295704
ENSG00000067177	20.61453701	25.4804846	14.54494983	27.94256545	13.61125012	22.65474209	12.52465496	18.78575418	19.06867279	14.54501978	13.55218694	27.72217176	15.85710866	62.78239205	22.60775841	13.74138587
ENSG00000184388	3.36657987	3.348863691	1.454494983	2.341732552	2.794179395	2.626178203	2.198204748	2.712535933	2.683316231	1.768576829	3.094106607	0.881340721	3.351616149	0.647241155	0.346037118	2.560039011
ENSG00000186288	1.614113636	2.329644306	2.524783744	1.898702069	2.987835393	3.512117838	2.913899318	2.943390055	1.998214214	2.622372539	3.372576201	1.602437674	3.459732799	0.841413502	0.346037118	2.974162969
ENSG00000186462	181.3802552	196.5637384	138.4514564	129.6813513	132.1287207	129.0624204	154.053256	143.7355477	23.63601956	111.1763986	117.8854617	55.24403881	103.8640617	14.04513307	9.804385023	86.36366899
